iter	Passed	Remaining
866	34710	5324
867	34742	5283
868	34778	5242
869	34814	5202
870	34849	5161
871	34886	5121
872	34918	5079
873	34954	5039
874	34994	4999
875	35027	4958
876	35061	4917
877	35094	4876
878	35129	4835
879	35166	4795
880	35202	4754
881	35235	4714
882	35273	4673
883	35316	4634
884	35352	4593
885	35387	4553
886	35419	4512
887	35454	4471
888	35486	4430
889	35523	4390
890	35559	4350
891	35593	4309
892	35632	4269
893	35671	4229
894	35707	4189
895	35743	4148
896	35785	4109
897	35816	4068
898	35849	4027
899	35888	3987
900	35921	3946
901	35962	3907
902	35993	3866
903	36031	3826
904	36069	3786
905	36105	3746
906	36140	3705
907	36174	3665
908	36213	3625
909	36253	3585
910	36290	3545
911	36331	3505
912	36374	3466
913	36410	3425
914	36452	3386
915	36486	3345
916	36526	3306
917	36562	3265
918	36595	3225
919	36630	3185
920	36665	3145
921	36702	3104
922	36746	3065
923	36778	3025
924	36811	2984
925	36844	2944
926	36881	2904
927	36916	2864
928	36950	2823
929	36985	2783
930	37022	2743
931	37060	2704
932	37105	2664
933	37137	2624
934	37180	2584
935	37214	2544
936	37256	2504
937	37300	2465
938	37337	2425
939	37382	2386
940	37426	2346
941	37464	2306
942	37509	2267
943	37551	2227
944	37599	2188
945	37638	2148
946	37680	2108
947	37723	2069
948	37769	2029
949	37823	1990
950	37864	1950
951	37907	1911
952	37954	1871
953	38003	1832
954	38050	1792
955	38092	1753
956	38133	1713
957	38176	1673
958	38221	1634
959	38267	1594
960	38312	1554
961	38359	1515
962	38402	1475
963	38441	1435
964	38481	1395
965	38521	1355
966	38578	1316
967	38620	1276
968	38661	1236
969	38703	1197
970	38748	1157
971	38789	1117
972	38836	1077
973	38887	1038
974	38932	998
975	38976	958
976	39018	918
977	39058	878
978	39102	838
979	39149	798
980	39195	759
981	39243	719
982	39291	679
983	39339	639
984	39382	599
985	39431	559
986	39477	519
987	39524	480
988	39566	440
989	39620	400
990	39664	360
991	39708	320
992	39756	280
993	39797	240
994	39845	200
995	39894	160
996	39939	120
997	39978	80
998	40019	40
999	40059	0
